# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_f26f5fbf43_model
# start_datetime = 2023-08-27 21:49:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpfD8nSs/standata-f2632c2df3.json
# init = 2 (Default)
# random
#   seed = 949436583
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_0468bb5407fbaa407fffd48330a4259e-202308272149-2-89392f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_0468bb5407fbaa407fffd48330a4259e-profile-202308272149-2-78264e.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 2c6fa27
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,b.13,b.14,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.334714
# Diagonal elements of inverse mass matrix:
# 0.00249136, 0.00274957, 0.00357435, 7.27702e-05, 0.00880767, 0.0191562, 0.0102252, 0.00149215, 0.0129619, 0.000985657, 0.0390561, 0.0343097, 0.0431411, 0.0544452, 0.00208304, 1.5727e-05
-408402,0.950738,0.334714,4,15,0,408408,-0.0905584,-0.37938,0.556672,-0.1783,0.0197369,-0.0957379,0.204611,0.692184,2.90097,1.0103,1.60481,-0.997836,-0.860682,-1.16484,45.147,14.4047,43.1382
-408402,0.986135,0.334714,4,15,0,408409,-0.12782,-0.367598,0.575274,-0.19252,-0.111479,-0.127151,0.170902,0.686815,2.63644,1.04441,2.12545,-0.534932,-0.371906,-0.700426,45.0412,14.3753,43.1182
-408400,0.885243,0.334714,4,15,0,408408,-0.12664,-0.43425,0.611386,-0.178438,0.041612,-0.0191327,0.285001,0.720067,2.78779,1.03453,1.95884,-0.627649,-0.476277,-0.861568,45.0976,14.3928,42.6694
-408401,0.927999,0.334714,4,15,0,408405,-0.173376,-0.351738,0.56737,-0.185699,-0.0397428,-0.0326315,0.204446,0.693655,2.6713,1.0287,1.99956,-0.735393,-0.292002,-0.93813,45.1216,14.3545,43.2057
-408400,0.99853,0.334714,4,15,0,408404,-0.0869606,-0.451643,0.575815,-0.184963,-0.00329198,-0.197124,0.186723,0.679829,2.78864,1.05644,1.9184,-0.930922,-0.561386,-1.1232,45.0991,14.3754,43.4007
-408400,0.964296,0.334714,3,7,0,408405,-0.0778662,-0.433793,0.625911,-0.19424,-0.00504197,-0.220829,0.130321,0.692138,2.70441,1.06777,1.61702,-0.864349,-0.607354,-1.37014,45.0783,14.3802,43.3048
