# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-1-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-1-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.466307
# Diagonal elements of inverse mass matrix:
# 0.000881751, 6.15864e-05, 0.00796852, 0.0169489, 0.00910237, 0.00185718, 0.0137861, 0.000938736, 0.00264971, 0.00212853, 1.50106e-05
-408615,0.561359,0.466307,3,7,0,408623,0.0333132,-0.179084,-0.0169302,0.0794912,0.274318,0.734557,3.1171,1.03589,-0.670658,45.1562,14.4565,44.8368
-408608,1,0.466307,3,7,0,408617,0.0169787,-0.186116,0.000255073,0.0573259,0.131902,0.700296,2.85504,1.01664,-0.623327,45.1405,14.4526,45.2523
-408615,0.887111,0.466307,3,7,0,408618,0.0231053,-0.176486,-0.0163006,0.176908,0.0550804,0.683466,2.94371,1.09634,-0.528903,45.0604,14.3848,44.3483
-408614,1,0.466307,3,7,0,408619,-0.0345479,-0.208866,0.00458998,-0.384153,0.185857,0.776131,2.8315,1.0109,-0.783038,45.1523,14.4168,46.4458
-408612,0.944701,0.466307,3,7,0,408618,0.0298666,-0.184208,0.111872,0.046639,0.13479,0.723138,2.91471,1.06516,-0.554677,45.0224,14.4056,44.5725
-408608,0.958083,0.466307,3,7,0,408617,-0.00447652,-0.18731,-0.161671,-0.258746,0.145316,0.7359,2.8535,1.03335,-0.607906,45.0945,14.434,45.308
-408611,0.853292,0.466307,3,7,0,408615,-0.0422394,-0.197783,-0.0279952,-0.0572462,-0.0457397,0.71509,2.78451,1.09736,-0.628856,45.199,14.3734,45.5735
-408609,0.785251,0.466307,3,15,0,408618,0.0154766,-0.19263,-0.0223199,-0.0754516,0.192117,0.758503,2.9969,0.986826,-0.615303,45.023,14.393,45.1939
-408612,0.811988,0.466307,3,7,0,408617,-0.0450791,-0.176732,0.0280907,0.0246138,0.0263742,0.736386,2.85685,1.06775,-0.689299,45.2224,14.4197,45.0536
-408611,0.999462,0.466307,3,7,0,408616,-0.0178378,-0.180585,0.0296113,0.0667576,-0.0252584,0.73533,2.80063,1.06123,-0.66588,45.2305,14.4113,45.1399
-408608,0.853777,0.466307,3,7,0,408616,-0.000953777,-0.194504,0.150559,-0.0684926,0.0597838,0.768456,2.82063,1.01206,-0.630291,45.1238,14.444,45.3468
-408609,0.884339,0.466307,3,7,0,408613,-0.0221996,-0.199145,-0.179313,-0.120166,0.172523,0.699201,2.96977,1.06143,-0.650861,45.0863,14.3834,45.6506
-408611,0.763443,0.466307,3,7,0,408619,0.0231304,-0.175893,0.0672395,0.213216,0.0015306,0.774262,2.78339,1.0606,-0.638927,45.0771,14.4013,44.4921
-408609,0.927387,0.466307,3,7,0,408617,-0.0125019,-0.185495,-0.0978072,0.023762,-0.0974493,0.752039,2.71005,1.03745,-0.580692,45.0983,14.4205,45.0551
-408608,0.885654,0.466307,3,7,0,408615,-0.032571,-0.191544,-0.120188,-0.207151,0.115566,0.753689,2.98259,1.05478,-0.68826,45.0991,14.4351,45.4567
-408611,0.569663,0.466307,3,15,0,408617,-0.00753184,-0.193681,0.0893918,-0.166524,0.117901,0.619941,2.9311,1.01595,-0.650996,45.11,14.3982,45.9387
-408607,0.891194,0.466307,3,7,0,408615,-0.00790121,-0.18631,-0.0488343,-0.151239,0.0238417,0.728968,2.73115,1.06388,-0.670985,45.1059,14.3958,45.4036
-408607,0.986835,0.466307,3,7,0,408609,-0.0202977,-0.198213,-0.105442,-0.189204,0.0905016,0.731067,2.77043,1.09345,-0.629914,45.0842,14.4237,45.4854
-408612,0.780402,0.466307,3,7,0,408615,-0.0104885,-0.190433,-0.024025,0.0321339,0.179822,0.648451,2.80822,1.0598,-0.546781,45.1206,14.4053,45.1931
-408609,1,0.466307,3,7,0,408614,-0.0263152,-0.19156,0.0105533,-0.346899,-0.00538701,0.780328,2.92026,1.00192,-0.695524,45.0782,14.4034,45.6782
-408611,0.817183,0.466307,3,7,0,408615,0.000547197,-0.180848,-0.0363928,-0.146382,0.140229,0.673326,2.85879,1.1001,-0.588282,45.131,14.4332,44.9902
-408608,0.99301,0.466307,3,7,0,408614,0.00381777,-0.185286,0.0100259,0.155633,0.128146,0.68028,2.86451,1.05425,-0.634146,45.124,14.4166,45.1199
-408608,0.940013,0.466307,3,7,0,408612,0.0279401,-0.192141,0.0495072,-0.253987,0.126286,0.786729,2.94455,1.01427,-0.660405,45.0887,14.3877,45.3612
-408613,0.909472,0.466307,3,7,0,408617,-0.0254831,-0.200548,-0.128413,-0.194918,-0.250119,0.720572,2.90073,1.03021,-0.571832,45.1485,14.4294,45.8384
-408609,0.988788,0.466307,3,7,0,408616,0.00969612,-0.180766,0.0194333,-0.0927638,0.234576,0.762704,2.75197,1.0614,-0.649721,45.0652,14.3851,44.8225
-408612,0.850774,0.466307,3,7,0,408616,-0.0119124,-0.183456,-0.129398,0.122483,0.239203,0.699796,2.74654,1.08181,-0.650581,45.0544,14.358,44.9491
-408612,0.99627,0.466307,3,7,0,408615,-0.0085036,-0.180052,-0.069672,0.132104,0.19963,0.672808,2.75034,1.0846,-0.651602,45.0493,14.3608,44.9345
-408612,0.822847,0.466307,3,15,0,408620,-0.00262827,-0.199953,-0.042301,-0.148125,0.0856402,0.63307,2.90686,1.0881,-0.638218,45.0136,14.4617,45.766
-408609,1,0.466307,3,7,0,408614,0.00121234,-0.197566,-0.143934,-0.147256,0.00772426,0.672058,2.99242,1.0831,-0.62925,45.0479,14.4245,45.6287
-408613,0.806645,0.466307,3,7,0,408615,-0.0622976,-0.182869,0.048036,-0.196502,0.139723,0.809027,2.62097,0.995773,-0.665317,45.176,14.4145,45.2488
-408608,1,0.466307,3,7,0,408615,-0.0123275,-0.188962,0.0146313,-0.0816492,0.0100072,0.800546,2.94377,1.01729,-0.636558,45.1686,14.4093,45.1656
-408611,0.886972,0.466307,3,7,0,408613,-0.0217917,-0.199408,-0.0607826,-0.0139004,0.141388,0.706209,2.83605,1.10388,-0.642435,45.052,14.3902,45.377
-408613,0.838633,0.466307,4,23,0,408616,-0.00752482,-0.192606,0.043288,-0.10767,0.034705,0.823716,2.98931,1.03314,-0.63668,45.167,14.4478,45.1076
-408609,1,0.466307,3,7,0,408617,-0.00531652,-0.200074,0.0775497,-0.255869,0.0879477,0.710857,2.89668,1.02372,-0.582327,45.0854,14.3451,45.6234
-408610,0.981448,0.466307,3,7,0,408613,-0.00445413,-0.20355,0.0717823,-0.200204,0.0831881,0.734569,2.81128,1.02755,-0.552409,45.0756,14.371,45.5123
-408609,0.994265,0.466307,3,7,0,408612,0.0251882,-0.192585,-0.0318436,-0.307904,0.0081279,0.725236,2.97925,1.05384,-0.678096,45.1325,14.4458,45.7046
-408612,0.783417,0.466307,3,7,0,408617,0.002056,-0.206295,-0.0396916,-0.214513,-0.0392339,0.656058,2.96096,1.04768,-0.556112,45.0508,14.3591,45.8737
-408606,0.822588,0.466307,3,7,0,408617,-0.00380336,-0.195694,0.045089,-0.15714,0.155824,0.722746,2.93349,1.02652,-0.658034,45.1285,14.4519,45.6061
-408611,0.874286,0.466307,3,7,0,408614,-0.0289646,-0.200679,-0.126436,-0.405123,0.000911373,0.777713,2.95937,1.01176,-0.604416,45.0636,14.3513,45.6975
-408610,1,0.466307,3,7,0,408614,0.0035533,-0.187499,0.0920179,-0.0544905,0.0105013,0.697167,2.97258,1.03628,-0.596474,45.1807,14.4698,45.2761
-408611,0.955756,0.466307,3,7,0,408619,0.00918413,-0.202862,0.00188793,-0.346952,0.175055,0.715203,2.74884,1.07473,-0.730196,45.0303,14.4388,46.0276
