# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-2-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-2-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.472107
# Diagonal elements of inverse mass matrix:
# 0.00093735, 7.15041e-05, 0.00927371, 0.0165994, 0.00951441, 0.00177619, 0.0134775, 0.00107767, 0.00227004, 0.00191739, 1.53874e-05
-408608,0.956784,0.472107,3,7,0,408618,0.0134146,-0.184361,0.113748,-0.0645259,-0.0132254,0.734867,2.88712,1.06304,-0.602242,45.1242,14.4002,44.9697
-408610,0.795819,0.472107,3,7,0,408616,0.0385968,-0.18362,0.139726,-0.114131,-0.00311463,0.685036,2.9296,1.0616,-0.633437,45.0882,14.3785,45.2055
-408609,0.989439,0.472107,3,7,0,408614,-0.0322728,-0.187418,-0.107789,-0.019881,0.0528827,0.724164,2.90647,0.980928,-0.623109,45.075,14.4348,45.3752
-408609,0.957351,0.472107,3,7,0,408613,0.0160363,-0.181601,0.0690586,-0.0863812,0.178691,0.752368,2.7421,1.06502,-0.688189,45.1198,14.4548,45.0577
-408609,0.794153,0.472107,3,7,0,408618,-0.0125612,-0.175582,0.0397901,0.0143843,0.184828,0.740322,2.87324,1.06179,-0.700961,45.1104,14.3906,44.8546
-408608,0.896982,0.472107,3,7,0,408613,0.00597258,-0.190579,0.0275096,-0.0392258,-0.0243916,0.718688,2.76732,1.03417,-0.571721,45.1257,14.4228,45.2681
-408611,0.891803,0.472107,4,15,0,408616,-0.0286183,-0.173278,-0.108112,0.0644584,0.188411,0.813272,2.83791,0.995802,-0.629424,45.1626,14.3947,44.5894
-408611,0.949519,0.472107,4,15,0,408615,-0.0184099,-0.176971,-0.128544,0.00336701,0.150816,0.815955,2.77797,0.994563,-0.710101,45.1679,14.3896,45.0394
-408610,0.871859,0.472107,3,7,0,408621,-0.0320238,-0.193326,0.124012,-0.108122,0.0276652,0.784861,2.60123,1.07276,-0.620042,45.097,14.4087,45.1444
-408609,0.89287,0.472107,3,7,0,408616,0.0139019,-0.191603,0.138814,-0.184658,0.297805,0.729694,2.8012,1.00325,-0.668762,45.1135,14.3849,45.5092
-408607,0.969815,0.472107,3,7,0,408613,0.000867702,-0.191051,0.0852158,-0.233689,0.211279,0.763558,2.83734,1.00487,-0.685276,45.1212,14.3956,45.5166
-408609,0.913323,0.472107,3,7,0,408610,-0.0397264,-0.189623,-0.0107234,-0.0634877,0.240652,0.756261,2.89182,1.0064,-0.714417,45.1262,14.4427,45.4611
-408608,0.994025,0.472107,3,7,0,408610,0.00185499,-0.183177,-0.0476727,-0.128532,0.0393493,0.795407,2.70956,1.05117,-0.622491,45.0901,14.3809,44.9251
-408610,0.833183,0.472107,3,7,0,408614,-0.00979716,-0.185639,-0.0348813,0.0302351,-0.0435426,0.798797,2.88551,1.02616,-0.552987,45.1454,14.4412,44.7564
-408612,0.946391,0.472107,3,7,0,408616,-0.0360411,-0.169859,-0.0516934,0.0989594,0.201893,0.731447,2.76219,1.03244,-0.653941,45.0886,14.3663,44.6554
-408611,0.965841,0.472107,3,7,0,408615,-0.0440714,-0.177001,-0.118475,0.152693,0.113959,0.738529,2.9199,1.03015,-0.633997,45.0829,14.347,44.7455
-408608,0.895268,0.472107,3,7,0,408618,-0.00787641,-0.180314,-0.142893,0.0822752,0.104021,0.765145,2.85856,1.02699,-0.685677,45.1078,14.3759,45.0257
-408608,0.869038,0.472107,3,7,0,408613,-0.0334691,-0.18523,-0.0338631,0.0209761,0.134994,0.744667,2.917,1.03201,-0.565723,45.118,14.3777,44.8308
-408609,0.913012,0.472107,3,15,0,408613,-0.0174376,-0.184444,-0.108182,-0.0288677,0.103088,0.732924,2.8201,1.08869,-0.611091,45.1215,14.4606,44.9384
-408608,0.907905,0.472107,3,7,0,408614,-0.0206771,-0.202068,0.0157355,-0.29906,0.061179,0.737372,2.9395,1.0511,-0.705766,45.062,14.387,45.9067
-408609,0.917554,0.472107,3,7,0,408614,-0.00896015,-0.177555,-0.106386,0.111401,0.212154,0.719105,2.78998,1.07131,-0.615738,45.0919,14.4216,44.675
-408606,0.996836,0.472107,3,7,0,408611,-0.0107174,-0.197486,-0.0218845,-0.211625,0.0151583,0.737383,2.93129,1.02748,-0.687817,45.0898,14.4305,45.8023
-408606,0.98041,0.472107,3,7,0,408608,-0.0171372,-0.190277,-0.0263414,-0.256773,0.125864,0.746945,2.8268,1.03722,-0.637916,45.1387,14.3929,45.4413
-408608,0.688715,0.472107,3,7,0,408613,0.0132782,-0.179365,-0.0712553,-0.0238954,0.0455411,0.712659,2.95128,1.00903,-0.642419,45.0973,14.3856,45.1619
-408614,0.898787,0.472107,3,7,0,408617,-0.023421,-0.205036,0.0422402,-0.165789,0.148762,0.650266,2.7684,1.12443,-0.62272,45.021,14.4406,45.6852
-408611,0.846327,0.472107,3,7,0,408622,0.0251721,-0.198602,-0.0711105,-0.227072,0.13293,0.661428,2.90769,1.07027,-0.614422,45.2176,14.3899,45.8546
-408609,0.798153,0.472107,3,7,0,408619,0.0357707,-0.201238,0.00229304,-0.152387,0.057939,0.66051,2.95968,1.03789,-0.708553,45.0947,14.4418,46.1383
-408612,0.723151,0.472107,3,7,0,408621,-0.0245992,-0.198848,-0.0535011,-0.368316,-0.129993,0.690182,2.77067,1.09029,-0.655068,45.0772,14.4233,45.9826
-408613,0.881832,0.472107,3,7,0,408618,-0.0139856,-0.208285,-0.165493,-0.141674,-0.127928,0.71276,2.80301,1.04287,-0.624675,45.0702,14.3823,46.0664
