# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-4-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-4-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.434057
# Diagonal elements of inverse mass matrix:
# 0.000872437, 6.79711e-05, 0.00968248, 0.0160082, 0.010683, 0.00186822, 0.0131884, 0.00113833, 0.00281646, 0.00226889, 1.51176e-05
-408608,0.894412,0.434057,3,7,0,408615,-0.00990925,-0.195282,0.139301,-0.223897,0.0492019,0.778468,2.81191,1.01339,-0.706849,45.1082,14.4054,45.6811
-408607,0.931331,0.434057,3,7,0,408611,-0.0272406,-0.190065,0.00648596,-0.158454,0.26869,0.736343,2.76681,1.0359,-0.631195,45.1275,14.4107,45.2975
-408606,0.933382,0.434057,3,7,0,408611,-0.00988024,-0.190903,-0.0389621,-0.125289,-0.0419642,0.720741,2.96687,1.03092,-0.588731,45.0745,14.4384,45.309
-408612,0.646123,0.434057,3,7,0,408615,-0.000102717,-0.195404,0.120264,-0.257438,0.10785,0.662739,2.78056,1.04364,-0.665169,45.1807,14.3702,45.975
-408609,0.992822,0.434057,3,7,0,408615,-0.00677948,-0.199931,0.100281,-0.165276,0.143817,0.664944,2.8048,1.03304,-0.644986,45.1457,14.3998,45.9362
-408608,0.990588,0.434057,3,7,0,408614,0.000960933,-0.193769,0.0169488,0.00228441,-0.0135881,0.676933,2.80328,1.08588,-0.647526,45.1528,14.4271,45.5613
-408613,0.83735,0.434057,3,7,0,408615,-0.00313797,-0.202394,-0.0592339,0.0380678,0.037425,0.66827,2.84014,1.08119,-0.726791,45.1888,14.3781,46.0875
-408614,0.979433,0.434057,3,7,0,408621,-0.0156324,-0.200929,-0.138093,0.0315639,0.0417413,0.688865,2.81087,1.07157,-0.780258,45.1591,14.3777,46.1788
-408610,0.858989,0.434057,3,7,0,408622,-0.0390904,-0.188741,-0.222718,-0.206203,0.215512,0.727403,2.81499,1.06617,-0.631471,45.0509,14.4398,45.2611
-408610,0.980033,0.434057,3,15,0,408614,-0.0211921,-0.189261,-0.240601,-0.158808,0.193012,0.750424,2.86055,1.05586,-0.603333,45.0333,14.4145,45.0846
-408608,0.951144,0.434057,3,7,0,408613,-0.0211481,-0.189291,0.0974149,0.00467799,-0.0577593,0.756102,2.96312,1.03454,-0.652135,45.1247,14.3884,45.2226
-408612,0.915162,0.434057,3,7,0,408617,-0.0137076,-0.190761,-0.099796,-0.0698791,0.268394,0.70595,2.64282,1.07257,-0.747121,45.0476,14.433,45.6093
