CO_CATEGAD_PRIVADA,QTD_ALUNOS,NT_GER_mean,NT_FG_mean,NT_CE_mean,QE_I58_mean,QE_I29_mean,QE_I57_mean,CO_REGIAO_CURSO_mean,CO_CATEGAD_PRIVADA_mean,NU_IDADE_mean,TP_SEXO_MASC_mean,QE_I02_BRANCA_mean,QE_I17_PRIVADO_mean,CO_IES_mean,QE_I08_NUM_mean,NT_GER_minimum,NT_FG_minimum,NT_CE_minimum,QE_I58_minimum,QE_I29_minimum,QE_I57_minimum,CO_REGIAO_CURSO_minimum,CO_CATEGAD_PRIVADA_minimum,NU_IDADE_minimum,TP_SEXO_MASC_minimum,QE_I02_BRANCA_minimum,QE_I17_PRIVADO_minimum,CO_IES_minimum,QE_I08_NUM_minimum,NT_GER_median,NT_FG_median,NT_CE_median,QE_I58_median,QE_I29_median,QE_I57_median,CO_REGIAO_CURSO_median,CO_CATEGAD_PRIVADA_median,NU_IDADE_median,TP_SEXO_MASC_median,QE_I02_BRANCA_median,QE_I17_PRIVADO_median,CO_IES_median,QE_I08_NUM_median,NT_GER_std,NT_FG_std,NT_CE_std,QE_I58_std,QE_I29_std,QE_I57_std,CO_REGIAO_CURSO_std,CO_CATEGAD_PRIVADA_std,NU_IDADE_std,TP_SEXO_MASC_std,QE_I02_BRANCA_std,QE_I17_PRIVADO_std,CO_IES_std,QE_I08_NUM_std,NT_GER_maximum,NT_FG_maximum,NT_CE_maximum,QE_I58_maximum,QE_I29_maximum,QE_I57_maximum,CO_REGIAO_CURSO_maximum,CO_CATEGAD_PRIVADA_maximum,NU_IDADE_maximum,TP_SEXO_MASC_maximum,QE_I02_BRANCA_maximum,QE_I17_PRIVADO_maximum,CO_IES_maximum,QE_I08_NUM_maximum,NT_GER_q25,NT_FG_q25,NT_CE_q25,QE_I58_q25,QE_I29_q25,QE_I57_q25,CO_REGIAO_CURSO_q25,CO_CATEGAD_PRIVADA_q25,NU_IDADE_q25,TP_SEXO_MASC_q25,QE_I02_BRANCA_q25,QE_I17_PRIVADO_q25,CO_IES_q25,QE_I08_NUM_q25,NT_GER_q75,NT_FG_q75,NT_CE_q75,QE_I58_q75,QE_I29_q75,QE_I57_q75,CO_REGIAO_CURSO_q75,CO_CATEGAD_PRIVADA_q75,NU_IDADE_q75,TP_SEXO_MASC_q75,QE_I02_BRANCA_q75,QE_I17_PRIVADO_q75,CO_IES_q75,QE_I08_NUM_q75
0,9382,44.67615646983589,51.23719889149444,42.472298017480135,4.814325303773183,4.525900660839906,4.792794713280751,3.0477510125772755,0.0,26.56171392027286,0.4875293114474526,0.5622468556810915,0.36058409720741846,1507.277126412279,3.188978895757834,0.0,0.0,0.0,1,1,1,1,0,20,0,0,0,1,1,44.6,51.8,42.5,5.0,5.0,5.0,3.0,0.0,25.0,0.0,1.0,0.0,573.0,3.0,13.781962322937826,17.06540587776403,14.907301064036657,1.4309444551799366,1.4614108912019252,1.3250673684079084,1.1466690750312682,0.0,5.502446545623153,0.4998710983443358,0.4961366399842005,0.48019556820890413,4131.037206514481,1.6857960009088704,85.8,95.2,87.7,6,6,6,5,0,67,1,1,1,23410,7,35.2,38.9,32.65,4.0,4.0,4.0,2.0,0.0,23.0,0.0,0.0,0.0,54.0,2.0,54.4,63.8,52.9,6.0,6.0,6.0,4.0,0.0,28.0,1.0,1.0,1.0,605.0,5.0
1,15036,39.00593907954248,44.02120244745972,37.3169459962751,5.197259909550413,5.010707635009311,5.154894918861399,3.171654695397712,1.0,26.51682628358606,0.4444001064112796,0.642391593508912,0.29283054003724396,421.91872838520885,3.1826948656557597,0.0,0.0,0.0,1,1,1,1,1,20,0,0,0,11,1,38.6,43.6,37.6,6.0,5.0,6.0,3.0,1.0,25.0,0.0,1.0,0.0,322.0,3.0,12.794048644623345,16.201039846125955,13.889929271308803,1.2839840492756878,1.2989795711338084,1.2159085644536167,0.6573095302077394,0.0,5.586033839605318,0.4969155603229939,0.4793119166282556,0.4550764640242359,1034.7472769469512,1.6194514585318083,89.1,95.0,92.0,6,6,6,5,1,67,1,1,1,15032,7,29.8,32.1,27.6,5.0,4.0,5.0,3.0,1.0,23.0,0.0,0.0,0.0,163.0,2.0,47.7,55.4,47.3,6.0,6.0,6.0,4.0,1.0,29.0,1.0,1.0,1.0,472.0,4.0
