# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-3-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-3-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.359222
# Diagonal elements of inverse mass matrix:
# 0.00098683, 6.60431e-05, 0.00828526, 0.0148078, 0.00963282, 0.00159631, 0.0141535, 0.00106813, 0.0429117, 0.0398184, 0.0462127, 0.0578599, 0.00212601, 1.61459e-05
-408465,0.989477,0.359222,4,15,0,408468,0.0364095,-0.178979,-0.264035,-0.0214449,0.283832,0.771946,2.67616,1.03892,1.75569,-0.699031,-0.57889,-0.849691,45.0804,14.3656,43.0693
-408465,0.989541,0.359222,3,7,0,408470,0.0165524,-0.176679,-0.226874,-0.00328701,0.244273,0.736632,2.81254,1.06734,1.95091,-0.824376,-0.442266,-0.771779,45.0721,14.4576,42.9663
-408475,0.630072,0.359222,4,15,0,408484,0.0613927,-0.187533,0.103706,0.0166258,0.330815,0.590454,2.88694,1.10322,1.65525,-1.27879,-0.721755,-1.74408,45.0813,14.3178,43.8885
-408472,0.996901,0.359222,4,15,0,408482,0.0805418,-0.186644,0.123071,-0.0580135,0.317035,0.583691,2.83681,1.08543,1.54986,-1.17505,-0.660334,-1.68103,45.1017,14.3424,43.9966
-408469,0.999351,0.359222,3,7,0,408476,0.0762289,-0.1923,0.119621,-0.0503321,0.310401,0.60116,2.80999,1.10006,1.53355,-1.23307,-0.728373,-1.6315,45.1007,14.3427,44.0923
-408465,0.972454,0.359222,3,7,0,408474,0.0362358,-0.191221,0.0635895,-0.0937124,0.39332,0.643674,2.75427,1.11201,1.69469,-1.08787,-1.00074,-1.07443,45.0647,14.4197,43.7773
-408467,0.859655,0.359222,4,15,0,408474,0.0113997,-0.181254,-0.135408,0.0660493,-0.00621811,0.78044,2.92396,1.03473,1.90188,-0.813483,-0.533731,-1.19313,45.1353,14.4446,43.17
-408465,0.973981,0.359222,4,15,0,408472,0.0252571,-0.194511,0.0520464,-0.155676,0.436928,0.690492,2.69779,1.10974,1.87374,-1.00054,-0.928836,-1.25183,45.0845,14.4355,43.6957
-408464,0.993532,0.359222,4,15,0,408469,0.065528,-0.186929,-0.0274832,-0.258124,0.346298,0.745921,2.65021,1.02984,1.71939,-0.955762,-0.571792,-1.14277,45.1565,14.3401,43.7043
-408464,0.977965,0.359222,3,15,0,408469,0.0203588,-0.198482,0.0596607,-0.09202,0.239144,0.750647,2.54802,1.0365,1.83051,-0.824334,-0.732296,-1.13825,45.1145,14.4132,43.839
-408470,0.931058,0.359222,3,7,0,408473,-0.0186845,-0.198961,0.167505,-0.0756568,0.327153,0.766914,2.46728,1.03577,1.89806,-0.891553,-0.594719,-1.2478,45.143,14.4293,43.7439
-408465,1,0.359222,4,15,0,408475,0.0534936,-0.169731,0.130352,0.018984,0.114316,0.701555,2.85688,1.0806,1.86813,-0.716159,-0.437375,-0.887498,45.0885,14.3487,42.7543
-408464,0.9873,0.359222,3,15,0,408471,0.0718025,-0.185853,0.16246,-0.0268848,0.0565692,0.729228,2.70941,1.0668,1.78053,-0.851947,-0.517868,-1.35896,45.0841,14.4133,43.3869
-408461,0.98232,0.359222,3,7,0,408466,0.0437452,-0.186474,0.0923364,-0.0293242,0.118601,0.712156,2.64777,1.07479,1.90017,-0.860915,-0.562216,-1.29858,45.0837,14.3552,43.4449
-408465,0.902132,0.359222,3,7,0,408472,0.0336263,-0.169134,0.0218934,0.0323349,0.414535,0.74989,2.71056,1.00132,1.74359,-0.987616,-0.762125,-0.985487,45.1174,14.3868,42.9749
-408466,0.951823,0.359222,3,15,0,408471,0.0162855,-0.177713,0.0469891,-0.0908425,0.32145,0.80576,2.85789,1.03591,1.76206,-0.912703,-0.705768,-1.29352,45.204,14.4122,43.0438
-408467,0.76054,0.359222,3,7,0,408473,-0.00709112,-0.179496,0.0666498,0.0426174,0.248254,0.780282,2.72164,1.04713,1.93992,-1.05543,-0.702922,-1.17294,45.1819,14.4237,43.135
-408465,0.978566,0.359222,4,15,0,408472,-0.0157476,-0.167865,0.0618852,-0.00018113,0.211504,0.774545,2.57473,1.05696,1.80086,-0.882025,-0.535746,-1.26109,45.1592,14.4237,42.8058
-408463,0.699282,0.359222,3,15,0,408478,-0.00840752,-0.193847,-0.0460648,-0.230874,0.237097,0.821226,2.62918,1.06168,1.58824,-1.08902,-0.857149,-1.3701,45.1009,14.4233,43.6844
-408462,0.992996,0.359222,4,15,0,408467,-0.0113383,-0.186586,-0.109627,-0.211242,0.25428,0.697416,2.59173,1.10322,1.61984,-1.15853,-0.851548,-1.44759,45.1228,14.3515,43.8766
-408463,0.93387,0.359222,4,15,0,408468,-0.0441418,-0.184895,-0.166675,-0.0425305,0.32426,0.695399,2.70295,1.08723,1.45661,-1.10437,-0.974648,-1.43384,45.1204,14.3551,43.7253
-408465,0.770169,0.359222,3,15,0,408480,0.0226667,-0.174961,0.0535671,-0.0350745,0.49531,0.758241,2.64964,1.05006,1.9958,-0.891291,-0.5657,-0.962655,45.1621,14.397,42.8778
-408465,0.993752,0.359222,4,15,0,408470,0.010374,-0.188858,-0.154258,-0.0936533,-0.0323955,0.695269,2.8564,1.09897,1.32069,-1.16586,-0.918268,-1.45009,45.0536,14.4054,43.9598
-408464,0.948682,0.359222,4,15,0,408471,0.0132776,-0.180746,0.148184,-0.0681895,0.391459,0.730372,2.62971,1.04917,1.90206,-0.842911,-0.483082,-0.834035,45.0791,14.3988,43.0871
-408465,0.757996,0.359222,4,15,0,408472,0.0374483,-0.183804,-0.232068,-0.176023,-0.0161984,0.7057,2.82859,1.08754,1.76532,-0.660164,-0.347474,-0.934267,45.1485,14.3803,43.5267
-408465,0.901947,0.359222,4,15,0,408469,0.0249609,-0.181391,0.112588,-0.131684,0.354437,0.743635,2.69936,1.04461,1.51426,-1.36367,-0.962648,-1.36701,45.0322,14.3903,43.5387
-408467,0.964312,0.359222,4,15,0,408471,0.0139841,-0.182729,-0.218992,0.1004,0.151655,0.667684,2.87442,1.09128,1.62109,-1.26476,-0.738088,-1.53167,45.1656,14.4186,43.7443
-408466,1,0.359222,3,7,0,408470,0.0155819,-0.176017,-0.23197,-0.0342026,0.153731,0.695439,2.87852,1.09815,1.56963,-1.06812,-0.885939,-1.60507,45.1899,14.4118,43.5207
-408464,0.987923,0.359222,4,15,0,408473,0.0343863,-0.189613,0.110428,-0.161979,0.308948,0.720404,2.67361,1.06446,2.06829,-0.614779,-0.268191,-1.01978,45.0168,14.4325,43.2135
-408465,0.792263,0.359222,4,15,0,408472,-0.0164861,-0.188126,-0.205425,-0.238011,0.0508833,0.720814,2.78188,1.0776,1.88876,-0.850227,-0.5044,-1.10541,45.1841,14.4503,43.7864
-408461,0.969888,0.359222,3,7,0,408468,0.0242303,-0.189336,0.00443927,-0.209549,0.0938241,0.7271,2.85069,1.06361,1.81379,-0.626083,-0.372874,-1.0186,45.12,14.3537,43.499
-408462,0.805813,0.359222,4,15,0,408469,-0.0284798,-0.179277,0.0353596,-0.0278943,0.291034,0.772355,2.69011,1.05513,1.54187,-0.986047,-0.837709,-1.31847,45.1339,14.4252,43.2223
-408461,0.983136,0.359222,4,15,0,408467,0.0157095,-0.191436,-0.118249,-0.201159,0.0647567,0.69164,2.84883,1.07838,2.0438,-0.588855,-0.322849,-0.960375,45.0786,14.3565,43.5848
-408459,0.867097,0.359222,3,7,0,408466,0.021533,-0.188208,-0.0463193,-0.128546,0.209323,0.663626,2.81623,1.07706,1.82126,-0.846633,-0.554856,-0.965814,45.0704,14.3835,43.6487
-408463,0.709257,0.359222,3,7,0,408465,0.0188176,-0.193685,0.0254359,-0.0263329,0.236121,0.68679,2.78598,1.0651,1.72345,-0.758957,-0.576616,-0.780829,45.0433,14.3908,43.5834
-408463,0.997331,0.359222,3,7,0,408467,0.0565857,-0.180277,0.0848426,-0.189346,0.336542,0.702142,2.87883,1.02894,1.88814,-0.745293,-0.493776,-1.28907,45.1313,14.3938,43.3492
-408464,0.961437,0.359222,3,7,0,408469,0.0997376,-0.187226,0.0668652,-0.146861,0.407263,0.674929,2.76879,1.03079,1.97106,-0.860725,-0.626255,-1.06676,45.0868,14.4011,43.6171
-408461,0.951179,0.359222,4,15,0,408470,-0.0194126,-0.195981,0.0666523,-0.293559,0.222879,0.732472,2.70625,1.07545,1.56322,-1.10627,-0.918954,-1.45072,45.0829,14.376,44.0297
-408466,0.610585,0.359222,3,15,0,408473,0.00192927,-0.193054,0.0832962,-0.127348,0.0347105,0.749046,2.74353,1.04285,1.68368,-0.723402,-0.550221,-1.28845,44.9932,14.39,43.569
