# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7267a81a6_model
# start_datetime = 2023-03-30 08:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b7446d01e8.json
# init = 2 (Default)
# random
#   seed = 1498873134
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300801-1-645afd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300801-1-6a414b.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.400018
# Diagonal elements of inverse mass matrix:
# 0.000847122, 7.77607e-05, 0.00985608, 0.0197089, 0.00983852, 0.00151633, 0.0135105, 0.00108581, 0.0425844, 0.0360419, 0.0421492, 0.0590364, 0.00215368, 1.54924e-05
-408465,0.666016,0.400018,3,7,0,408469,0.0366276,-0.192649,-0.00182533,-0.233916,0.191706,0.701166,2.6377,1.06125,1.87037,-1.00534,-0.840732,-0.90381,45.1151,14.3882,43.9904
-408466,0.930987,0.400018,3,7,0,408476,0.0666806,-0.165302,0.0578468,-0.00287798,0.335343,0.705346,2.90422,1.01344,1.8274,-0.953818,-0.633026,-1.13362,45.0731,14.3763,42.8905
-408461,0.888925,0.400018,3,7,0,408471,0.0218494,-0.185808,-0.0541143,0.122372,0.15828,0.722049,2.91084,1.04212,1.70279,-0.848171,-0.536679,-1.09697,45.1064,14.3936,43.3423
-408466,0.748874,0.400018,3,7,0,408470,0.0273952,-0.188819,-0.0243766,-0.382176,0.430912,0.725636,2.6274,1.0821,1.70485,-0.94007,-0.70865,-1.22167,45.1558,14.3217,43.753
-408463,0.999396,0.400018,3,7,0,408470,-0.0324188,-0.189804,0.00896498,-0.302799,0.385953,0.715319,2.8155,1.08028,1.81714,-0.988472,-0.808312,-1.28583,45.1053,14.4128,43.6835
-408461,0.822807,0.400018,3,7,0,408469,-0.00107776,-0.192229,-0.0496427,-0.174899,0.323699,0.718914,2.64824,1.0487,1.65048,-0.878081,-0.631055,-1.05922,45.08,14.3839,43.7586
-408461,0.776358,0.400018,4,15,0,408466,0.0219408,-0.173544,-0.11068,-0.138281,0.294348,0.755909,2.73868,1.06856,1.99017,-0.848908,-0.650064,-1.07308,45.1113,14.3935,42.9738
-408464,0.913161,0.400018,3,7,0,408466,-0.00615675,-0.190983,-0.0671994,-0.0519591,0.0239621,0.743475,2.79714,1.039,1.68026,-0.621964,-0.34778,-1.10528,45.0992,14.3902,43.5316
-408464,0.917702,0.400018,4,15,0,408472,0.0503256,-0.182564,-0.0299769,-0.081805,0.405819,0.712461,2.68683,1.08497,2.22808,-0.454811,-0.154682,-0.822235,45.0971,14.3496,42.8491
-408462,0.958129,0.400018,3,7,0,408468,0.0357002,-0.178069,0.00925126,0.0135471,0.240854,0.697997,2.71229,1.07891,2.20727,-0.571433,-0.314381,-0.656932,45.0493,14.4255,42.8244
-408467,0.752562,0.400018,3,7,0,408471,0.0169312,-0.18721,-0.115559,-0.130196,0.0672418,0.741067,2.72979,1.06032,2.23762,-0.18463,0.012658,-0.676768,45.1898,14.3585,43.1217
-408465,0.911915,0.400018,4,15,0,408475,-0.00221186,-0.192353,-0.00867152,-0.199027,0.33793,0.699572,2.88308,1.0291,1.68795,-0.680542,-0.540106,-1.03905,45.0185,14.3815,43.6228
-408461,0.937892,0.400018,4,15,0,408471,0.0454096,-0.177505,-0.195887,0.0705813,0.229074,0.708365,2.65862,1.07561,1.85635,-0.839187,-0.629431,-0.988378,45.1448,14.3983,43.2207
-408461,0.995453,0.400018,4,15,0,408465,-0.0103609,-0.17644,-0.12789,-0.0440315,0.297123,0.770931,2.77984,1.05966,1.79674,-0.825661,-0.516737,-1.10611,45.1397,14.4116,42.9707
-408465,0.654735,0.400018,3,7,0,408471,0.0110429,-0.181206,0.0150917,-0.257799,0.257255,0.813877,2.74611,1.05607,1.84764,-0.89832,-0.469779,-1.40811,45.1249,14.3385,43.1246
-408465,0.793143,0.400018,3,7,0,408473,0.0101999,-0.18801,-0.0751426,0.0830936,0.0743185,0.62717,2.70923,1.12249,1.92504,-0.842917,-0.448517,-0.890313,45.0489,14.3909,43.5288
-408465,0.977522,0.400018,4,15,0,408471,0.00924339,-0.186913,-0.158385,-0.00394626,0.404916,0.737447,2.68285,1.04807,1.52037,-1.19278,-0.819576,-1.35633,44.9956,14.3933,43.5402
-408464,0.901847,0.400018,4,15,0,408472,0.0433926,-0.176492,-0.0904657,-0.0457931,0.118143,0.759368,2.58576,1.08007,1.48127,-1.08989,-1.00519,-1.3277,45.0962,14.4318,43.3744
-408466,0.98148,0.400018,3,15,0,408471,0.00884073,-0.18167,-0.0211328,0.24666,0.264491,0.722546,2.63226,1.07926,1.64275,-1.03846,-0.706642,-1.50424,45.1797,14.3392,43.2812
-408460,0.615757,0.400018,3,7,0,408472,0.0184419,-0.182298,-0.109889,-0.0147698,0.173544,0.678208,2.7208,1.09648,1.74521,-0.923366,-0.726269,-1.24433,45.1722,14.4146,43.571
-408459,0.967498,0.400018,3,15,0,408465,0.0168159,-0.18444,-0.110554,-0.1025,0.0941317,0.749928,2.75584,1.07283,1.86913,-0.75061,-0.403892,-0.869232,45.0896,14.3814,43.2555
-408463,0.755688,0.400018,3,7,0,408465,0.00768047,-0.189836,-0.138806,-0.198122,0.0722978,0.743546,2.76727,1.05467,1.91338,-0.693321,-0.53462,-1.12008,45.0773,14.4646,43.5833
-408465,0.685111,0.400018,3,15,0,408475,0.0329479,-0.186862,-0.0105778,-0.154366,0.373538,0.756771,2.76126,1.08023,1.86705,-0.919327,-0.872587,-1.24683,45.1693,14.3361,43.401
-408461,0.75679,0.400018,3,7,0,408474,-0.0344892,-0.190391,0.0423889,-0.116172,0.172885,0.731943,2.74458,1.05362,1.65628,-0.95118,-0.553827,-1.29944,45.1195,14.3467,43.6875
-408461,0.866545,0.400018,4,15,0,408467,0.00884002,-0.187679,0.00235917,-0.191522,0.106358,0.729408,2.81557,1.03444,1.91735,-0.74508,-0.560591,-1.02987,45.0835,14.4397,43.5693
-408469,0.605068,0.400018,3,7,0,408474,0.0365475,-0.180167,0.123066,-0.134368,0.357795,0.738972,2.76681,1.08771,1.785,-0.697921,-0.285241,-0.635112,45.0864,14.3591,42.8504
-408464,0.979884,0.400018,3,7,0,408473,0.032299,-0.175696,0.0792878,-0.0517615,0.337593,0.720521,2.68678,1.03942,2.05371,-0.6877,-0.326981,-0.804508,45.0289,14.362,42.8516
-408467,0.818813,0.400018,4,15,0,408474,-0.0409005,-0.187573,-0.107392,-0.247892,0.273546,0.68058,2.81698,1.08221,1.35932,-1.31395,-1.23989,-1.70669,45.1755,14.3484,44.243
-408463,0.959815,0.400018,4,15,0,408474,0.080184,-0.180592,0.108594,0.00468538,0.200657,0.736477,2.68247,1.06263,1.75163,-1.08661,-0.765311,-1.29236,45.0746,14.3526,43.3003
-408466,0.841985,0.400018,4,15,0,408474,0.040582,-0.165501,-0.0417911,0.286838,0.068963,0.729555,2.66756,1.05341,1.90576,-0.85009,-0.480144,-1.08645,45.0671,14.3836,42.6316
-408463,0.999205,0.400018,3,15,0,408470,0.0389377,-0.176369,0.0467078,0.199819,0.222127,0.746551,2.66893,1.08426,1.68276,-0.879827,-0.680465,-1.44158,45.0737,14.383,42.8522
-408464,0.616313,0.400018,3,7,0,408482,0.0395705,-0.182346,0.106009,0.145548,0.26238,0.680776,2.69045,1.05322,1.68244,-0.963055,-0.638307,-1.34218,45.0562,14.4481,43.3535
-408463,0.937509,0.400018,3,15,0,408472,0.0552769,-0.1821,-0.205839,0.0783634,0.269883,0.703325,2.74534,1.09388,1.57925,-1.1153,-0.912852,-1.58315,45.1453,14.3997,43.5391
-408468,0.671947,0.400018,3,7,0,408474,-0.00674937,-0.182553,-0.0274804,0.106807,0.250033,0.692586,2.51642,1.12736,1.18693,-1.49596,-1.11272,-1.55934,45.1561,14.3777,43.7908
-408463,0.917783,0.400018,4,15,0,408473,0.060197,-0.187125,-0.14186,-0.146588,0.196806,0.718296,2.91805,1.04797,1.78405,-0.970325,-0.545921,-1.3003,45.0264,14.429,43.5711
-408464,0.933479,0.400018,4,15,0,408471,0.0668358,-0.186872,-0.174753,-0.179207,0.267786,0.689435,2.66595,1.0841,2.00332,-0.80666,-0.40844,-1.20846,45.1239,14.3476,43.593
-408466,0.903859,0.400018,4,15,0,408470,-0.0263006,-0.175851,0.117354,-0.114782,0.179435,0.722089,2.78173,1.04135,1.58959,-1.0124,-0.884994,-1.63673,45.1024,14.3362,43.4307
-408466,0.988291,0.400018,3,15,0,408472,0.00856811,-0.183173,-0.127703,0.10648,0.236107,0.716129,2.86142,1.07109,1.60212,-1.05441,-0.577158,-1.12942,45.1935,14.4416,43.4243
-408468,0.963397,0.400018,4,15,0,408477,-0.0244832,-0.193826,0.0476851,-0.253311,0.170793,0.748021,2.54305,1.04714,2.07505,-0.755204,-0.441898,-0.66908,45.1671,14.4056,43.7311
-408465,0.839159,0.400018,4,15,0,408476,0.0158986,-0.188661,-0.14631,0.0359553,0.166228,0.703419,2.86064,1.04027,1.56964,-0.727416,-0.550054,-1.03433,45.0529,14.3367,43.5285
-408463,0.992823,0.400018,4,15,0,408468,0.0229644,-0.191062,0.0730694,-0.166741,0.28404,0.726294,2.67364,1.08969,1.76736,-0.717938,-0.405719,-0.957877,45.1501,14.3495,43.4464
-408462,0.98705,0.400018,3,7,0,408467,0.0231084,-0.186018,0.0287632,-0.17176,0.170521,0.661369,2.88103,1.07112,1.96367,-0.907433,-0.626278,-1.13872,45.1451,14.416,43.7227
-408465,0.823538,0.400018,4,15,0,408471,0.0624058,-0.199171,-0.00410482,-0.0661587,0.212514,0.714052,2.73625,1.10098,1.98122,-0.581183,-0.357875,-1.08807,45.1625,14.3727,43.5634
-408467,0.97458,0.400018,3,7,0,408471,0.0171225,-0.18677,0.013922,-0.150818,0.317022,0.630506,2.6228,1.10988,2.12547,-0.669704,-0.394281,-0.613811,45.1672,14.4143,43.5281
