# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b744330bda_model
# start_datetime = 2023-03-30 08:11:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpO6pATb/standata-6b74b805b47.json
# init = 2 (Default)
# random
#   seed = 549394854
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300811-2-895f5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300811-2-0f71b0.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.34908
# Diagonal elements of inverse mass matrix:
# 0.000860026, 6.51723e-05, 0.00848706, 0.0166111, 0.0107074, 0.00177699, 0.015777, 0.00110358, 0.0453515, 0.0429155, 0.0462713, 0.0618176, 0.00219249, 1.42594e-05
-408468,0.691334,0.34908,4,15,0,408473,-0.0154654,-0.185917,-0.102512,-0.228512,0.215221,0.739198,2.64425,1.03942,1.2108,-1.04042,-1.03696,-1.45225,45.0932,14.3624,43.9515
-408465,0.99856,0.34908,4,15,0,408472,0.00440497,-0.187215,-0.100766,-0.143923,0.225258,0.833742,2.62905,1.08539,1.65098,-1.21278,-0.876264,-1.50144,45.0975,14.3916,43.3938
-408466,0.977556,0.34908,4,15,0,408473,0.0355502,-0.18603,-0.0504083,-0.0809815,0.473531,0.671555,2.77747,0.991803,1.59714,-1.11248,-0.8952,-1.33625,45.1274,14.3858,43.9772
-408466,0.971345,0.34908,4,15,0,408472,0.013848,-0.198082,-0.027355,-0.324819,0.452982,0.733386,2.76757,1.08215,2.12141,-0.693879,-0.428615,-0.749171,45.1176,14.3722,43.5478
-408463,0.990999,0.34908,3,7,0,408469,0.050266,-0.192647,-0.0490421,-0.195348,0.179976,0.701479,2.60019,1.03468,2.00635,-0.551269,-0.347318,-0.918049,45.0902,14.3764,43.7185
-408469,0.906573,0.34908,4,15,0,408475,0.0208994,-0.186884,-0.00335742,0.141929,0.273159,0.75573,2.59786,1.09566,1.42563,-1.11343,-1.08095,-1.54586,45.2437,14.3824,43.5576
-408464,1,0.34908,3,7,0,408475,0.0218045,-0.174918,-0.018643,0.123437,0.148318,0.680257,2.82327,1.03441,1.53846,-1.20113,-0.745928,-1.51142,45.08,14.3967,43.4852
-408463,0.996902,0.34908,3,15,0,408469,0.0145174,-0.193694,0.115616,-0.22902,0.389517,0.707735,2.82235,1.08408,1.84893,-0.867322,-0.644642,-0.952401,45.1503,14.3793,43.6268
-408471,0.742299,0.34908,4,15,0,408477,0.0313065,-0.177796,0.0231804,-0.101553,0.105778,0.801118,2.40192,1.02518,1.85866,-0.894731,-0.722522,-1.38574,45.0278,14.4129,43.2195
-408463,1,0.34908,3,7,0,408475,-0.00132702,-0.189151,-0.0525862,-0.0683802,0.323127,0.733685,2.74572,1.11776,1.56944,-0.922719,-0.673464,-1.19554,45.0627,14.4038,43.3196
-408463,0.90455,0.34908,4,15,0,408471,0.0205069,-0.190166,-0.0562019,-0.186236,0.177869,0.741087,2.75117,1.08964,1.50823,-0.840956,-0.636604,-1.46639,45.1498,14.3761,43.6593
-408461,0.980865,0.34908,4,15,0,408467,0.0234624,-0.183239,0.0050365,-0.0877786,0.321661,0.717361,2.8296,1.0568,1.69398,-1.09419,-0.642197,-1.39198,45.0549,14.3883,43.4259
-408466,0.919205,0.34908,3,7,0,408469,0.00517181,-0.178323,-0.188765,0.151161,0.2096,0.718638,2.57379,1.12752,1.8343,-0.847996,-0.361801,-0.944924,45.1386,14.354,42.9588
-408461,0.97632,0.34908,4,15,0,408469,0.039487,-0.18435,-0.0439942,-0.119817,0.26138,0.760699,2.76144,1.06391,2.00586,-0.840118,-0.375003,-0.995235,45.0988,14.412,43.1578
-408463,0.947823,0.34908,3,7,0,408467,-0.00659148,-0.189448,0.0259221,-0.00958062,0.301105,0.653912,2.69662,1.06293,1.91399,-0.680254,-0.536304,-0.836994,45.051,14.3708,43.5085
-408466,0.909417,0.34908,4,15,0,408471,-0.0257295,-0.186636,0.0472955,0.163187,0.245008,0.711904,2.73071,1.09247,1.56594,-1.00856,-0.801715,-1.63393,45.0369,14.3896,43.3196
-408462,0.957077,0.34908,3,7,0,408470,0.00727118,-0.17955,-0.108625,-0.175894,0.172438,0.687333,2.70634,1.07198,1.8942,-0.866315,-0.629648,-0.882062,45.1334,14.3856,43.5259
-408463,0.890822,0.34908,3,7,0,408469,0.0209532,-0.184034,-0.119123,-0.00773984,0.185619,0.723321,2.79657,1.02639,2.12581,-0.736858,-0.351377,-1.22892,45.09,14.4287,43.315
-408466,0.975058,0.34908,3,7,0,408471,0.0030681,-0.188657,-0.20402,-0.0253168,0.123799,0.734201,2.71435,0.996714,1.89499,-0.587115,-0.252324,-0.957815,45.1182,14.4126,43.5705
