# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-1-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-1-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.369919
# Diagonal elements of inverse mass matrix:
# 0.000978229, 5.9292e-05, 0.00945803, 0.0159232, 0.00992416, 0.00142699, 0.0128415, 0.00104666, 0.0416525, 0.0315736, 0.0370257, 0.0532227, 0.00242375, 1.5075e-05
-408464,0.986449,0.369919,4,15,0,408472,0.0400801,-0.193432,-0.0956518,-0.242304,0.182857,0.729635,2.77872,1.0723,1.86463,-0.977236,-0.770943,-1.50876,45.0099,14.3876,43.7826
-408461,0.99643,0.369919,3,7,0,408469,-0.00773979,-0.184845,0.00922829,-0.106574,0.195287,0.759003,2.62124,1.06945,1.59811,-0.873388,-0.533342,-1.06781,45.0881,14.3459,43.3411
-408465,0.905042,0.369919,3,7,0,408471,-0.0542429,-0.18349,0.0993947,-0.184929,0.17376,0.762435,2.62762,1.05265,2.05624,-0.608451,-0.33808,-1.08068,45.0613,14.3496,43.1051
-408464,0.907324,0.369919,4,15,0,408471,0.0175736,-0.187642,0.102747,-0.0476284,0.127722,0.77738,2.7063,1.03158,2.09878,-0.553942,-0.190001,-0.651811,45.1346,14.4334,43.0958
-408464,0.992323,0.369919,4,15,0,408469,0.0324408,-0.182453,-0.0380024,0.0851553,0.243681,0.709965,2.71344,1.05443,1.2443,-1.40459,-1.08317,-1.45189,45.0961,14.349,43.7776
-408461,0.899698,0.369919,4,31,0,408469,0.00279222,-0.184486,-0.0766705,-0.282798,0.203119,0.748108,2.70085,1.05037,1.91272,-0.851747,-0.38679,-0.959977,45.1119,14.3803,43.4825
-408461,0.938763,0.369919,4,15,0,408467,0.0248816,-0.194271,-0.111093,-0.161575,0.303275,0.660316,2.88474,1.09454,1.79013,-0.986166,-0.677507,-1.34854,45.0702,14.3962,43.8723
-408464,0.725001,0.369919,3,7,0,408468,0.0092798,-0.189666,-0.114905,-0.186753,0.272902,0.685912,2.80818,1.04893,1.49725,-0.961793,-0.850373,-0.95371,45.1402,14.4066,43.9796
-408463,0.979891,0.369919,3,15,0,408468,-0.000579382,-0.189674,-0.0634625,-0.081393,0.346849,0.684448,2.7802,1.024,1.67593,-0.966387,-0.835794,-1.02476,45.1064,14.4342,43.8674
-408460,0.902328,0.369919,3,7,0,408468,0.0461894,-0.18796,-0.0889452,-0.199129,0.285986,0.728862,2.81245,1.04902,1.82285,-0.917248,-0.720224,-1.39418,45.0691,14.4127,43.6167
-408461,0.950436,0.369919,3,7,0,408466,0.00741768,-0.186616,0.0365046,-0.179977,0.202283,0.683467,2.62792,1.10795,1.94307,-0.720373,-0.503453,-0.915677,45.1579,14.3685,43.5071
-408459,0.998278,0.369919,3,7,0,408463,0.00690761,-0.18823,-0.079834,-0.119024,0.326586,0.730083,2.82555,1.05822,1.90981,-0.768203,-0.505257,-1.06314,45.0973,14.392,43.3671
-408462,0.948814,0.369919,3,7,0,408464,0.0331649,-0.175965,0.023846,0.0296831,0.177446,0.727558,2.51173,1.09516,1.95328,-0.780986,-0.514393,-1.06538,45.1345,14.3834,43.002
-408461,0.903658,0.369919,4,15,0,408467,0.000391842,-0.191612,-0.0912215,-0.191475,0.355937,0.667376,2.85103,1.06587,1.86997,-0.771608,-0.648369,-1.0774,45.1081,14.4037,43.7572
-408464,0.828365,0.369919,3,15,0,408469,-0.0382846,-0.188537,-0.0756528,-0.0624656,0.276231,0.701626,2.77345,1.09982,2.07591,-0.827209,-0.665833,-1.22572,45.1016,14.3744,43.4016
-408461,0.982906,0.369919,3,15,0,408468,-0.0159985,-0.192195,-0.0802172,-0.0439217,0.222401,0.697747,2.60549,1.07657,1.76893,-0.958248,-0.615691,-1.28283,45.0809,14.3642,43.7631
-408461,0.97048,0.369919,3,7,0,408466,-0.0088745,-0.186284,-0.0413853,-0.32101,0.181173,0.729394,2.79741,1.0972,1.63322,-0.990425,-0.595803,-1.16174,45.1097,14.4113,43.6217
-408460,0.959134,0.369919,4,15,0,408467,0.0309099,-0.193064,-0.132014,-0.0908099,0.296116,0.696406,2.74028,1.04745,1.89218,-0.852114,-0.528837,-1.26515,45.1098,14.3814,43.7849
-408466,0.746677,0.369919,3,7,0,408468,0.0103118,-0.178434,0.159284,-0.191849,0.221046,0.774648,2.62608,1.06079,1.6305,-1.0934,-0.57039,-1.05659,45.0693,14.4093,43.2047
-408463,0.92691,0.369919,3,7,0,408476,-0.00217183,-0.176941,-0.0196563,0.0502454,0.216874,0.777519,2.75355,1.07743,1.59172,-0.884513,-0.58935,-1.52411,45.1038,14.3994,42.9236
-408463,0.989036,0.369919,3,15,0,408467,0.0311873,-0.177396,-0.0668402,-0.0175564,0.0398626,0.727527,2.75931,1.06765,1.83182,-1.02717,-0.664366,-1.3121,45.1349,14.4131,43.3761
-408461,0.971198,0.369919,3,15,0,408466,0.0244009,-0.180648,-0.117123,0.0536228,0.122441,0.742291,2.79704,1.06408,1.54886,-0.980886,-0.792611,-1.51267,45.0831,14.4088,43.3492
-408461,0.990547,0.369919,4,15,0,408465,0.035866,-0.187239,0.028846,-0.0672077,0.434105,0.68075,2.71038,1.05776,1.64149,-0.918499,-0.801549,-1.15395,45.1228,14.3901,43.6385
-408463,0.932014,0.369919,3,7,0,408469,0.0301748,-0.185625,-0.174763,-0.132731,0.288926,0.715285,2.88402,1.08006,1.6965,-1.10944,-0.825766,-1.36914,45.006,14.361,43.526
-408465,0.939146,0.369919,3,7,0,408471,-0.0257535,-0.187151,-0.232367,-0.0522921,0.346033,0.713679,2.5473,1.08694,1.66678,-0.932473,-0.737628,-1.50099,45.0975,14.4329,43.613
-408465,0.96408,0.369919,3,7,0,408470,0.0393893,-0.180092,-0.056473,-0.105047,0.261517,0.727767,2.70391,1.1375,1.67984,-1.11737,-0.89163,-1.10495,45.1325,14.3381,43.2856
-408464,0.89191,0.369919,3,7,0,408472,0.0304278,-0.183359,-0.145513,0.0977666,0.292095,0.76576,2.48671,1.0425,1.69784,-0.917423,-0.646754,-1.31968,45.1204,14.3952,43.3335
-408466,0.816662,0.369919,3,7,0,408473,0.0101633,-0.181009,-0.0903979,0.223706,0.45802,0.766355,2.62019,1.03904,1.65658,-0.978884,-0.848926,-1.36448,45.118,14.4231,43.0921
-408465,0.997347,0.369919,4,15,0,408473,0.0210743,-0.185035,0.132437,-0.417343,0.217212,0.737942,2.88848,1.02192,1.55604,-1.01145,-0.670812,-1.26681,45.1399,14.3561,43.8243
-408464,0.955735,0.369919,4,15,0,408474,0.00142898,-0.183687,-0.101735,-0.197309,0.185884,0.757413,2.72784,1.09431,1.99772,-0.670792,-0.448875,-0.842993,45.2319,14.3867,43.2558
-408463,0.990776,0.369919,3,15,0,408469,0.0133679,-0.192019,-0.0450522,-0.0874213,0.119509,0.694236,2.89576,1.03911,1.59315,-1.04357,-0.791,-1.57219,45.0014,14.4012,43.9145
-408467,0.901536,0.369919,4,15,0,408471,0.0567368,-0.190086,-0.021647,0.0272106,0.170734,0.711632,2.88682,1.05564,1.4922,-1.12508,-0.836495,-1.42846,44.9819,14.4569,43.6539
-408474,0.749159,0.369919,3,7,0,408480,-0.0340758,-0.172944,-0.0469205,-0.00300394,0.277051,0.75622,2.97894,1.02985,1.3403,-1.16633,-0.795116,-1.49874,45.1992,14.2758,43.2877
-408467,0.960844,0.369919,3,15,0,408480,0.099815,-0.202206,0.0181444,-0.185892,0.272368,0.702597,2.65757,1.08113,1.95223,-0.752627,-0.486996,-1.12088,45.0084,14.3369,43.793
-408466,0.668601,0.369919,3,7,0,408480,0.00445974,-0.178048,-0.0774975,-0.107062,0.441111,0.688313,2.85149,1.05561,1.47385,-0.872653,-0.740243,-1.04985,45.1137,14.407,43.3548
-408465,0.884765,0.369919,4,15,0,408474,-0.0105713,-0.18709,-0.0485589,-0.280982,0.366509,0.693015,2.87148,1.06647,1.54277,-0.835643,-0.460469,-1.12885,45.1054,14.3744,43.6228
-408465,0.910013,0.369919,3,15,0,408472,-0.000684373,-0.187292,0.0136833,-0.266439,0.377665,0.710519,2.84164,1.06072,1.58944,-0.733271,-0.55103,-1.26862,45.0997,14.3701,43.5206
-408464,1,0.369919,4,15,0,408469,0.0291502,-0.18573,-0.0831786,-0.0534055,0.148412,0.758378,2.62527,1.10394,1.33301,-1.07217,-0.746262,-1.5717,45.1047,14.4085,43.5225
-408467,0.95146,0.369919,3,15,0,408472,0.0648486,-0.176989,-0.119431,-0.103075,0.29918,0.731102,2.74042,1.08449,1.52947,-1.38677,-1.13982,-1.65297,45.1438,14.3233,43.6012
-408464,0.72169,0.369919,3,7,0,408477,0.0315339,-0.192253,-0.0962179,-0.120524,0.319905,0.744343,2.74202,1.0563,1.16402,-1.25296,-1.0796,-1.77456,45.12,14.3865,44.0398
-408464,0.846927,0.369919,4,15,0,408473,-0.0362187,-0.176669,-0.0651961,0.0604133,0.219823,0.774085,2.54229,1.09138,1.54825,-1.21859,-0.876059,-1.46522,45.0412,14.3893,43.1275
-408464,0.873365,0.369919,3,15,0,408472,-0.0384165,-0.179159,0.117434,-0.0273692,0.25689,0.746773,2.61275,1.08144,1.70385,-0.840621,-0.606774,-1.23452,45.0722,14.3363,43.0323
-408464,1,0.369919,4,15,0,408470,-0.00500892,-0.184942,-0.192019,-0.0233357,0.260041,0.78578,2.45957,1.083,1.70349,-1.09442,-0.864717,-1.36744,45.1406,14.4212,43.4674
-408468,0.785199,0.369919,4,15,0,408475,0.0402216,-0.16445,0.103132,0.0430724,0.139577,0.735935,2.92024,0.994387,1.68829,-0.819385,-0.579818,-1.23708,45.0326,14.352,42.7883
-408471,0.898388,0.369919,3,7,0,408477,0.0641794,-0.165008,0.12898,0.0757233,0.0908732,0.72336,2.94899,0.992731,1.85398,-0.891687,-0.513575,-1.24644,45.016,14.3587,42.8099
-408466,0.899336,0.369919,3,15,0,408478,0.00861625,-0.195977,0.0399999,-0.101284,0.309839,0.748436,2.80773,1.03681,1.49851,-0.810538,-0.706533,-1.11086,45.1704,14.4102,43.7561
-408464,0.998456,0.369919,3,15,0,408473,0.0275641,-0.20219,0.0257173,-0.10534,0.144773,0.702772,2.88592,1.03609,1.54309,-1.00394,-0.686782,-1.22141,45.1766,14.388,44.2682
-408461,0.990287,0.369919,3,7,0,408465,0.0355058,-0.177997,-0.026653,-0.179667,0.215968,0.716083,2.74449,1.09231,1.71988,-0.90449,-0.730655,-1.37808,45.0452,14.3987,43.2658
-408459,0.955677,0.369919,3,7,0,408465,0.0268283,-0.179695,-0.000430165,-0.139353,0.24665,0.715864,2.73942,1.09826,1.69816,-0.938119,-0.696139,-1.22134,45.0848,14.3921,43.2769
-408462,0.839397,0.369919,3,7,0,408464,-0.0108025,-0.195337,-0.205097,-0.11872,0.17523,0.716745,2.72169,1.05439,1.64588,-1.02356,-0.717726,-1.22148,45.0912,14.3601,44.0213
-408463,0.865526,0.369919,3,15,0,408469,-0.0453059,-0.181158,-0.0394415,-0.0920902,0.0206267,0.709165,2.81647,1.08355,1.74219,-0.7033,-0.463946,-1.10477,45.0713,14.4013,43.2815
-408464,0.882888,0.369919,4,15,0,408470,0.0561096,-0.193292,0.135759,-0.136918,0.308961,0.732101,2.72876,1.08456,1.5979,-1.06265,-0.979731,-1.37842,45.032,14.4219,43.6504
-408460,1,0.369919,4,15,0,408466,0.0139171,-0.185361,-0.102226,-0.129712,0.281842,0.740657,2.67772,1.05482,1.58414,-0.942008,-0.638578,-1.30924,45.1724,14.3806,43.6201
-408459,0.897149,0.369919,3,7,0,408464,0.0191592,-0.184147,-0.122186,-0.0653256,0.252946,0.754466,2.71661,1.06272,1.70681,-0.966784,-0.701943,-1.29493,45.1488,14.389,43.4473
-408459,0.845177,0.369919,3,7,0,408466,0.0123962,-0.18522,-0.0257332,-0.0471231,0.267377,0.758689,2.76989,1.056,1.61477,-1.03775,-0.80038,-1.20097,45.1429,14.3776,43.4607
-408460,0.964515,0.369919,4,15,0,408463,0.0469069,-0.183519,-0.0143982,-0.0434651,0.183161,0.672666,2.88993,1.06533,1.87459,-0.817987,-0.538784,-1.19547,45.0712,14.3453,43.4227
-408459,0.998534,0.369919,4,15,0,408462,0.0310593,-0.188328,0.021107,-0.0354646,0.165937,0.726381,2.75714,1.04373,1.64462,-0.98963,-0.692414,-1.24319,45.068,14.4241,43.6206
-408463,0.837473,0.369919,3,7,0,408466,0.025643,-0.188558,0.0103966,-0.152901,0.376229,0.701606,2.62057,1.13112,1.88558,-0.807784,-0.751617,-1.20352,45.1132,14.3641,43.3943
-408464,0.868729,0.369919,4,15,0,408472,0.00134489,-0.183455,-0.0597342,-0.246374,0.107719,0.797037,2.85997,1.02329,1.5914,-0.952027,-0.676049,-1.16902,45.0901,14.3284,43.4819
-408466,0.85697,0.369919,4,15,0,408470,0.0109844,-0.196363,-0.125815,-0.181247,0.349451,0.652448,2.83925,1.06111,1.6344,-1.24827,-0.789214,-1.52738,45.1145,14.4461,44.3084
-408465,0.994037,0.369919,4,15,0,408469,0.0181177,-0.183512,-0.0189078,0.0515068,0.0964754,0.790454,2.66009,1.05257,1.85613,-0.590112,-0.549626,-1.23834,45.1139,14.4149,43.0371
-408461,0.977815,0.369919,3,15,0,408469,0.0512221,-0.195977,-0.0177159,-0.282148,0.222118,0.680646,2.6802,1.09568,1.77684,-0.77288,-0.556802,-0.961944,45.1065,14.361,43.9064
-408466,0.765069,0.369919,3,7,0,408472,0.0916295,-0.195649,0.0367576,-0.250491,0.0886333,0.697322,2.90207,1.09793,2.02531,-0.819197,-0.40644,-0.9286,45.1248,14.3905,43.7346
-408474,0.888133,0.369919,3,7,0,408480,-0.0565249,-0.200269,0.141666,-0.286249,0.0912902,0.610171,2.77769,1.09521,1.92921,-0.478104,-0.292364,-0.98419,45.0194,14.3809,43.9654
-408471,0.980856,0.369919,4,15,0,408479,-0.0318693,-0.199024,0.190647,-0.287099,0.0945191,0.615944,2.83532,1.10225,1.92931,-0.646355,-0.244368,-0.983317,45.0127,14.3842,43.9044
-408466,0.972441,0.369919,3,7,0,408476,0.071929,-0.186187,-0.297526,-0.0264434,0.251351,0.720258,2.81513,1.05787,1.62282,-0.958595,-0.561722,-1.12868,45.17,14.4128,43.6381
