# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b744330bda_model
# start_datetime = 2023-03-30 08:11:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b74b805b47.json
# init = 2 (Default)
# random
#   seed = 549394854
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300811-1-895f5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300811-1-0f71b0.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.342056
# Diagonal elements of inverse mass matrix:
# 0.000851782, 6.74622e-05, 0.00918855, 0.0166609, 0.00992883, 0.00168348, 0.0125504, 0.00117666, 0.0523279, 0.0457613, 0.0531496, 0.0726675, 0.00175891, 1.46368e-05
-408461,0.934758,0.342056,3,7,0,408466,0.019728,-0.188477,0.0227198,-0.0942131,0.145207,0.717387,2.79022,1.07987,1.88966,-0.747964,-0.668336,-1.3867,45.1282,14.397,43.4992
-408464,0.927479,0.342056,3,7,0,408470,0.0620137,-0.188663,0.0546207,-0.105454,0.137777,0.647274,2.79077,1.0626,1.6361,-0.896185,-0.732242,-1.11459,45.0013,14.3992,43.8007
-408466,0.824865,0.342056,3,7,0,408473,0.0745873,-0.192601,0.0248346,-0.0812137,0.121557,0.655243,2.90853,1.06463,1.59941,-0.819105,-0.709605,-1.16173,45.0007,14.4099,43.8027
-408465,0.97809,0.342056,3,7,0,408471,0.0826028,-0.196836,0.0587451,-0.258045,0.223996,0.667079,2.8923,1.03661,1.65268,-1.11025,-0.73147,-1.36962,45.0349,14.3421,44.2148
-408465,0.917447,0.342056,3,15,0,408475,0.0429686,-0.195473,0.0309154,-0.317762,0.373855,0.616643,2.84003,1.06258,1.7692,-0.942811,-0.832268,-1.22938,45.059,14.4187,44.2088
-408460,0.925203,0.342056,4,15,0,408473,0.0183447,-0.174151,-0.0614617,0.00875684,0.280925,0.761525,2.60247,1.05898,1.9034,-0.821655,-0.557112,-1.1612,45.0873,14.3873,42.8921
-408461,0.808429,0.342056,4,15,0,408465,0.031008,-0.18593,-0.0566427,-0.0892462,0.157511,0.661198,2.78657,1.05431,2.07458,-0.711017,-0.298212,-0.961205,45.0965,14.3865,43.5413
-408463,0.768614,0.342056,3,15,0,408469,0.0363631,-0.186165,0.071534,-0.102533,0.327741,0.799001,2.73085,1.06304,1.7238,-1.01967,-0.749686,-1.32341,45.1641,14.3956,43.2911
-408463,0.880982,0.342056,3,7,0,408468,0.0205679,-0.187234,-0.163047,-0.130328,0.210003,0.664085,2.79801,1.0478,1.54597,-1.13042,-0.669827,-1.29639,45.065,14.387,43.9919
-408463,0.95454,0.342056,3,15,0,408468,-0.0178754,-0.18728,-0.0546944,-0.107571,0.163757,0.699585,2.98919,1.08064,1.88911,-0.945504,-0.609468,-1.18784,45.1216,14.3799,43.5396
-408465,0.991834,0.342056,4,15,0,408470,-0.0329252,-0.17107,-0.0817908,-0.0930366,0.0670498,0.704259,2.74913,1.10539,1.52775,-0.892205,-0.626178,-1.34483,45.092,14.3644,43.1651
-408468,0.965903,0.342056,4,15,0,408476,0.0907719,-0.184884,0.126409,-0.29741,0.180881,0.757876,2.88708,1.0267,1.97245,-0.613579,-0.514507,-1.11344,45.1209,14.3512,43.3375
-408467,0.969362,0.342056,4,15,0,408473,-0.0493964,-0.192087,-0.118799,0.0435334,0.107752,0.692587,2.61895,1.11792,1.69373,-0.733467,-0.675378,-1.10716,45.1381,14.4185,43.625
-408462,0.997594,0.342056,3,15,0,408471,0.0320053,-0.188339,-0.150941,-0.104239,0.14398,0.702368,2.59261,1.09573,1.81958,-1.00851,-0.569852,-1.43368,45.098,14.3882,43.7346
-408462,0.969503,0.342056,4,15,0,408466,-0.0100095,-0.176786,0.0192563,-0.0529723,0.233005,0.710289,2.88578,1.05507,1.59718,-1.08212,-0.795641,-1.1036,45.1438,14.4078,43.3871
-408462,0.926338,0.342056,3,15,0,408469,-0.0204981,-0.178185,0.100574,-0.0885187,0.257482,0.70392,2.82701,1.06665,1.68364,-0.975224,-0.806096,-1.19136,45.1416,14.4028,43.3594
-408465,0.676348,0.342056,4,15,0,408471,-0.00930227,-0.18409,-0.0274788,-0.269619,0.210961,0.713813,2.64452,1.0939,1.97749,-0.865905,-0.742126,-1.20408,45.0553,14.449,43.4835
-408461,0.962796,0.342056,3,15,0,408470,0.00653611,-0.189626,0.000466472,-0.176534,0.276323,0.696703,2.67723,1.09915,1.76883,-1.01791,-0.817371,-1.04016,45.09,14.3636,43.6983
-408460,0.770225,0.342056,3,15,0,408466,0.0365637,-0.189999,-0.0478502,-0.166007,0.31894,0.698806,2.77954,1.10687,1.82579,-0.897176,-0.707445,-1.14685,45.0842,14.3477,43.537
-408460,0.854896,0.342056,4,15,0,408466,-0.00874687,-0.186955,-0.0330896,-0.0502893,0.104959,0.749821,2.78692,1.07474,1.77673,-0.738436,-0.46425,-1.19828,45.1336,14.3782,43.3268
-408462,0.601792,0.342056,4,15,0,408468,-0.00389288,-0.175311,-0.00297138,-0.138098,0.295765,0.742319,2.70597,1.03499,1.80753,-0.748805,-0.650669,-0.879563,45.1102,14.3955,43.1215
-408462,0.899353,0.342056,4,15,0,408467,0.0403287,-0.185369,-0.0291948,-0.185528,0.097125,0.670493,2.77065,1.10296,1.68479,-1.06461,-0.80511,-1.10724,45.096,14.3973,43.798
-408464,0.932813,0.342056,4,15,0,408469,-0.00894811,-0.177209,-0.0670855,-0.0883837,0.344882,0.75462,2.61575,1.03678,1.76363,-1.01531,-0.877482,-1.13985,45.1361,14.4366,43.3405
-408465,0.784439,0.342056,3,7,0,408471,0.0313316,-0.179997,-0.100171,-0.0369719,0.221471,0.793134,2.87604,1.04992,1.47141,-1.0083,-0.640195,-1.34058,45.0893,14.3328,43.1493
-408468,0.957948,0.342056,3,15,0,408472,0.0374476,-0.180389,-0.108295,-0.0731092,0.298773,0.800662,2.91041,1.03986,1.52663,-0.973051,-0.548356,-1.33189,45.1022,14.3227,43.1032
