# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-4-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-4-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.396909
# Diagonal elements of inverse mass matrix:
# 0.000873248, 6.11266e-05, 0.00825504, 0.0142688, 0.00920427, 0.00140312, 0.0124679, 0.000912187, 0.043708, 0.0367948, 0.0412753, 0.0616988, 0.00216937, 1.47209e-05
-408464,0.628826,0.396909,4,15,0,408469,0.0171235,-0.191065,-0.105051,-0.29363,0.322101,0.730551,2.79757,1.07926,1.58169,-1.26365,-0.806796,-1.31394,45.0206,14.3905,43.8325
-408464,0.962517,0.396909,4,15,0,408473,0.0250038,-0.179738,0.106625,0.0652301,0.398225,0.716067,2.75061,1.07622,1.9401,-0.837987,-0.602192,-0.856971,45.1633,14.4141,42.9927
-408463,0.92455,0.396909,4,15,0,408470,-0.00423042,-0.179984,-0.100429,-0.198437,0.297951,0.672692,2.77519,1.03596,1.77404,-0.924003,-0.579363,-1.28814,45.1194,14.3562,43.6779
-408466,0.921404,0.396909,4,15,0,408473,0.09492,-0.189235,0.13583,-0.0731852,0.282388,0.694293,2.7985,1.03984,1.33578,-1.38335,-1.10043,-1.5766,45.0864,14.4402,44.0503
-408469,0.842106,0.396909,4,15,0,408473,-0.0162623,-0.184491,-0.191372,-0.0881249,0.0385296,0.781847,2.6107,1.1079,2.27158,-0.524606,-0.248127,-0.551349,45.0268,14.3582,42.8341
-408464,0.980781,0.396909,3,7,0,408473,0.0172654,-0.178479,0.0193018,-0.142777,0.312193,0.746613,2.72841,0.996385,2.12836,-0.628248,-0.383699,-1.0396,45.1541,14.4191,43.1769
-408466,0.811362,0.396909,4,15,0,408474,0.0539977,-0.190884,-0.0502563,-0.0167018,0.333166,0.694267,2.50556,1.14956,1.55479,-1.18727,-1.04072,-1.48901,45.0526,14.4264,43.674
-408469,0.483564,0.396909,3,7,0,408476,0.0449863,-0.187018,0.0328141,-0.110928,0.221233,0.702277,2.45368,1.11411,1.60007,-0.968819,-1.0868,-1.15591,45.0531,14.3693,43.6497
-408466,1,0.396909,4,15,0,408475,-0.00861883,-0.186602,-0.172365,-0.180877,0.124123,0.688582,2.93818,1.02817,2.02025,-0.692601,-0.393804,-0.633979,45.1602,14.3652,43.6799
-408465,0.766299,0.396909,4,15,0,408475,0.0633992,-0.186195,0.0643152,-0.00163193,0.283575,0.667864,2.92158,1.05723,1.80385,-0.865807,-0.833244,-1.48113,45.0858,14.4203,43.5445
-408466,0.889727,0.396909,3,7,0,408470,0.0514084,-0.18888,0.1116,-0.0286686,0.313135,0.663662,2.71435,1.06822,1.54603,-1.14016,-0.616697,-0.990717,45.1168,14.3541,43.7812
-408465,0.971714,0.396909,4,15,0,408473,-0.00113223,-0.182186,-0.167759,-0.223473,0.103004,0.742909,2.74486,1.07907,1.44362,-0.843904,-0.669265,-1.07666,45.0938,14.3526,43.5143
-408466,0.980608,0.396909,3,15,0,408472,0.052881,-0.186811,-0.151092,-0.0258985,0.334721,0.668195,2.78696,1.09258,2.00017,-1.00824,-0.638086,-1.40665,45.1398,14.4431,43.6055
-408462,0.895347,0.396909,3,7,0,408479,0.0393312,-0.188406,-0.123206,-0.05947,0.300399,0.679536,2.83057,1.05727,1.75996,-1.08585,-0.665463,-1.13799,45.1518,14.4152,43.8152
-408464,0.974793,0.396909,3,7,0,408469,0.0275592,-0.178016,0.0751443,0.0558056,0.249925,0.741277,2.58674,1.11619,1.55282,-1.2952,-0.95316,-1.45089,45.0673,14.3763,43.1997
-408466,0.968084,0.396909,3,15,0,408470,0.0235934,-0.179573,0.140745,0.154429,0.136022,0.724614,2.63378,1.11321,1.46373,-1.13902,-1.05489,-1.29198,45.1068,14.3714,43.2559
-408461,0.976071,0.396909,3,7,0,408470,0.0455403,-0.181954,-0.102994,-0.0653994,0.126232,0.727214,2.69507,1.06832,1.62907,-0.949893,-0.525448,-1.45324,45.1155,14.3909,43.4915
-408461,0.711094,0.396909,4,15,0,408470,0.0288536,-0.193723,-0.0328144,-0.208559,0.281707,0.693463,2.72653,1.04764,1.65421,-0.971749,-0.773295,-1.58445,45.0969,14.3898,44.045
-408463,0.535967,0.396909,3,15,0,408472,0.0909086,-0.18141,-0.0325938,-0.0828048,0.378643,0.687343,2.70592,1.07717,1.70057,-0.956538,-0.617701,-1.06159,45.1304,14.4135,43.4258
-408466,0.862346,0.396909,4,15,0,408476,0.0279679,-0.184505,-0.00325881,-0.0541597,0.330451,0.774072,2.5665,1.05046,1.79057,-1.05434,-0.842502,-1.33931,45.2483,14.3726,43.5376
-408463,0.929501,0.396909,3,7,0,408473,-0.0118887,-0.194373,0.0662488,-0.207648,0.448308,0.722137,2.73131,1.0268,1.60145,-1.05412,-0.76864,-1.37285,45.1145,14.4046,43.9317
-408461,0.994209,0.396909,3,15,0,408466,0.0230634,-0.183387,0.0188388,-0.119643,0.0645845,0.72754,2.84591,1.06191,1.64915,-0.986131,-0.759937,-1.33885,45.0444,14.3818,43.5089
-408468,0.655452,0.396909,3,7,0,408472,0.0136166,-0.176025,0.0857745,-0.107752,0.140857,0.737818,2.69475,1.07129,1.52921,-1.23881,-0.738012,-1.45488,44.9775,14.3567,43.287
-408464,1,0.396909,3,15,0,408472,0.0166351,-0.18308,0.00912324,0.0809666,0.175844,0.749708,2.89833,1.00731,1.52177,-0.893493,-0.841927,-1.28633,45.1158,14.4254,43.4208
-408468,0.628973,0.396909,3,7,0,408479,0.0352235,-0.199062,0.00173939,-0.144395,0.229672,0.683655,2.85649,1.09829,1.64599,-0.905705,-0.950226,-1.46317,45.0984,14.2971,43.9911
-408472,0.974335,0.396909,3,7,0,408475,0.0215104,-0.179076,0.0749085,-0.166263,0.378163,0.660653,2.77833,1.05883,1.30405,-1.46608,-0.932656,-1.39294,45.1114,14.4686,43.8963
-408471,1,0.396909,3,7,0,408477,0.043244,-0.195412,-0.000535593,-0.147688,0.307349,0.732764,2.9495,1.03971,1.52909,-1.07954,-1.07409,-1.86974,45.1208,14.3111,43.9977
-408473,0.938253,0.396909,3,7,0,408483,0.0597043,-0.192991,-0.0668015,-0.297489,0.459262,0.627585,2.79548,1.06931,1.27197,-1.4069,-0.850877,-1.61141,45.0528,14.4432,44.3987
-408471,0.993574,0.396909,4,15,0,408479,-0.0240915,-0.171671,-0.037723,-0.053245,0.0191198,0.774326,2.59738,1.03944,1.37226,-1.05875,-0.444517,-1.38805,45.1449,14.3906,43.2878
-408464,1,0.396909,3,7,0,408475,0.0148376,-0.189466,-0.0786897,-0.0712218,0.286319,0.73494,3.00482,1.06269,1.99162,-0.772874,-0.561115,-1.02702,45.1147,14.4044,43.302
-408467,0.903147,0.396909,3,7,0,408471,0.0301844,-0.177436,-0.0902098,-0.221447,0.0837727,0.701746,2.89705,1.00657,1.61599,-0.759776,-0.474273,-1.27428,45.0231,14.3841,43.5185
-408465,1,0.396909,3,7,0,408472,0.0297113,-0.188519,-0.0216134,0.0147718,0.399619,0.742589,2.88592,1.04429,1.81637,-1.04399,-0.740981,-1.21038,45.1753,14.3932,43.4656
-408460,0.998022,0.396909,3,15,0,408468,0.00930152,-0.191303,-0.0690529,-0.0435982,0.292771,0.691129,2.9175,1.04788,1.78373,-0.91445,-0.716483,-1.23391,45.1283,14.4036,43.7341
-408461,0.854385,0.396909,3,7,0,408468,0.0306206,-0.185054,0.0445662,-0.172346,0.0779691,0.715548,2.86166,1.05678,1.80312,-0.793186,-0.455809,-1.33412,45.1463,14.4076,43.552
-408464,0.901338,0.396909,3,15,0,408469,-0.0380496,-0.194101,-0.0219867,-0.15011,0.176808,0.695591,2.67583,1.09824,1.56668,-1.07524,-0.884031,-1.24886,45.2041,14.3726,44.0862
