parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,42.1304918899247,3.2444974880049418,0.03627458468003179,0.0645847366558175,2905.6235070956286,1.001147569794206,0.21960565527569512
β[1],0.3575036419641624,0.1021591969029559,0.001142174544008977,0.002475580820901792,1594.215061597144,1.0011236237324694,0.12049002301828542
β[2],-0.6596811764454206,0.09296250497531781,0.0010393524024173652,0.002206486709701849,1607.5027111691438,1.0041603165038875,0.12149429731060404
β[3],0.28756953423379755,0.11119354398893705,0.0012431816150918818,0.0017486677248535758,4819.152317267006,0.9999839884365612,0.3642292609219226
β[4],-0.11031822519865743,0.01539642498406273,0.0001721372643742019,0.00021513274035805228,6398.8027927739695,1.0002024205022848,0.4836184993876524
β[5],1.0392428891412429,0.16885769398340206,0.0018878864113537213,0.002321690384953007,6568.246998724523,1.00015041029515,0.4964250126160768
β[6],1.067099847660345,0.18805595885623178,0.0021025295378821894,0.003994656835608322,2008.0985541529708,1.0021954935899622,0.15177114232660474
β[7],2.4192368292461857,0.18409512178029105,0.0020582460331341644,0.002302079084530369,7074.561501534131,1.00026674401769,0.5346920241175886
σ,13.031368315068537,0.057504053486351424,0.0006429148628863278,0.00082931251566773,6030.365817224504,1.000490865185779,0.4557722064161959
τ_1,1.576602455596989,0.8155044935379726,0.009117617417537223,0.019375470266779653,2131.5673742486374,1.0038870140085652,0.1611028575598452
zⱼ_1[1],-0.5618744022603037,0.5547803717961777,0.006202633119594302,0.009757718697457318,3771.192617960574,1.000678058263275,0.28502496074101297
zⱼ_1[2],0.6682080469019449,0.521007628449898,0.005825042370049626,0.009382314708452468,2950.535702678971,1.0014740783292981,0.2230000978512265
zⱼ_1[3],0.7338785145582116,0.522475511088839,0.0058414537968679466,0.009679946802901507,2842.0898609185638,1.0016976057772973,0.21480381224038914
zⱼ_1[4],0.42578582996406017,0.48413621403147955,0.0054128074247188785,0.008918501830971452,3026.6057142744535,1.0016126027703023,0.22874943347659585
zⱼ_1[5],-1.3081481127740497,0.6656473583564111,0.0074421637116404895,0.013936334292389661,3086.665042050894,1.0016319828329894,0.23328868916459333
τ_2,4.585811255923531,2.7612515143286975,0.030871730445066012,0.16653871047045454,134.1167221758508,1.0289421795680849,0.01013647865421359
zⱼ_2[1],0.8299297839127973,0.7825420634823897,0.008749086245997897,0.015703758519462492,3438.4740063921204,1.0017733306217675,0.2598782448855424
zⱼ_2[2],-0.8231253350079318,0.796105899875284,0.008900734547048882,0.014635505439472774,3422.5744936006918,1.0018676610216493,0.25867656720204374
