parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,37.95707944074873,24.93662729755382,0.27879996883453606,2.6387841070806406,16.200433340891088,9.890422580944712,9.449860156246743e-5
β[1],0.11736836548236299,0.1665315675564946,0.0018618795272796022,0.0025641163054792816,4129.508693050026,0.9997164653495216,0.024087799901518908
β[2],-0.10048709640253467,0.03522031026374431,0.00039377503969182905,0.0018369538792521532,66.13639162266536,1.156539075285278,0.00038577958929991187
β[3],0.07514447361675733,0.03372252894881843,0.00037702933551381267,0.0014505691516536095,105.87950138424392,1.095331906772488,0.0006176047642928079
β[4],0.6726382673346475,0.16338606644391404,0.0018267117557244457,0.0059006501410968715,162.8783673666018,1.06271370419562,0.0009500843352178561
β[5],0.11527257934724941,0.034281768785781694,0.0003832818269696914,0.0006224561772973162,3789.319595144119,1.005023305272176,0.02210344594366748
β[6],-1.1157522566159823,0.16470263151381778,0.001841431400689978,0.004859044308166429,295.30836946168205,1.0378936596080601,0.001722560585671745
β[7],-0.18084534729586585,0.006423190537841967,7.181345337524036e-5,0.00015020710788107202,550.1137243376995,1.0242743410806805,0.0032088634023769843
β[8],0.021814957812602953,0.10407758213422379,0.0011636227429297102,0.006800375146149957,40.45077590861783,1.2949002241793521,0.0002359530560107152
β[9],-0.17665352105541746,0.11298424374136914,0.001263202246960533,0.002986647789684666,385.88132685126243,1.0286428203863287,0.0022508808862830073
β[10],0.5255175114088557,0.09306915387285583,0.0010405447733404672,0.0034610249006464034,146.37804138146652,1.0710745813949285,0.0008538364325778419
β[11],0.6366078677583944,0.03476497627396158,0.0003886842509237272,0.0004357961449083996,7319.652162966344,1.0010744218109395,0.042696196994812204
β[12],2.83391549166019,0.1111088492998665,0.001242234699681407,0.005820781063972283,65.93979382048502,1.158161105980987,0.0003846328164336945
β[13],0.996120627849958,0.03054437703157313,0.0003414965168649038,0.0014668880948400516,77.94715979008909,1.131456481565438,0.0004546728745420373
σ,14.023633674336649,0.028046635178437307,0.0003135709139956138,0.0007977744741705329,283.5662742955004,1.035884841382561,0.0016540678762936058
τ_1,1.5143288890527051,0.718122932324972,0.008028858464400592,0.03823244722176059,73.85429271017112,1.1480033599996073,0.00043079880850350295
zⱼ_1[1],-1.2846803220696958,0.6500132218632607,0.007267368751799517,0.04770745315177474,38.154801964440445,1.277203865813233,0.00022256043111092402
zⱼ_1[2],0.6332823146497201,0.49490177560405096,0.005533170062180025,0.029923145597329576,79.3247603059536,1.0932627955934968,0.00046270854368258695
zⱼ_1[3],0.7699728762619025,0.4900555038589764,0.005478987096882909,0.026540143685734784,126.79669615480078,1.0465746090257184,0.0007396166643966267
zⱼ_1[4],0.03000845814677823,0.5009275528203307,0.00560054029954438,0.0374756861204282,40.26336042028338,1.2417114894110046,0.00023485984441655062
zⱼ_1[5],-1.3087461750882123,0.7532780464879195,0.008421904589526174,0.06373241609115708,26.45498852138668,1.548193333231054,0.00015431435487050138
τ_2,45.79222435739897,51.38837296844086,0.5745394760527321,5.349960113456138,16.60865002626082,5.399718564550225,9.68797666270177e-5
zⱼ_2[1],0.7096433452629981,0.8195931002263372,0.00916332942997944,0.0583710489951143,35.95210587683101,1.354721947351641,0.00020971190443473816
zⱼ_2[2],-0.20448013228931364,0.9874924836506632,0.011040501603564915,0.08354124842026028,24.288639114629362,1.7247378300211416,0.00014167784169047878
